Ticker,Announced,Expiration,Min Price ($),Max Price,Min Shares,Max Shares ,Min Value ($),Max Value ($),Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Shares Purchased
CBRL US,3/17/2006,4/27/2006,42.00,46.00,16.8,16.8,703.5,770.5,23.5,N/A,42.00,16.8
CAC US,3/24/2006,5/3/2006,36.50,40.25,0.8,0.8,27.4,30.3,0.9,1.3,39.00,0.9
GIW US,4/4/2006,5/18/2006,9.90,11.40,0.7,0.7,6.4,7.4,0.5,0.5,11.40,0.5
SYMSQ US,4/27/2006,5/26/2006,16.00,18.00,3.4,3.4,53.6,60.3,0.4,0.4,18.00,0.4
CMLS US,5/10/2006,6/14/2006,11.00,12.50,11.5,11.5,126.5,143.8,15.3,N/A,11.50,11.5
LI US,7/7/2006,8/7/2006,25.50,28.50,15.0,15.0,382.5,427.5,15.6,N/A,26.90,15.6
MIR US,7/11/2006,8/21/2006,25.75,29.00,43.0,43.0,"1,107.3","1,247.0",50.2,N/A,28.50,43.0
MSFT US,7/21/2006,8/17/2006,22.50,24.75,808.1,808.1,"18,181.8","20,000.0",154.5,154.5,24.75,154.5
ACXM US,7/21/2006,9/12/2006,25.00,27.00,11.1,11.1,277.8,300.0,15.1,33.4,25.00,11.1
SONC US,8/14/2006,10/6/2006,19.50,23.00,24.3,24.3,474.8,560.0,15.9,15.9,23.00,15.9
SVNT US,8/9/2006,9/11/2006,5.80,6.80,10.0,10.0,58.0,68.0,12.5,12.5,6.80,10.0
IP US,8/15/2006,9/13/2006,32.50,36.00,41.7,41.7,"1,354.2","1,500.0",38.5,38.5,36.00,38.5
ALSC US,8/18/2006,9/22/2006,2.75,3.00,10.9,10.9,30.0,32.7,3.0,3.0,3.00,3.0
3362726Q US,8/24/2006,9/26/2006,20.00,23.00,32.0,32.0,640.0,736.0,37.3,37.3,23.00,37.0
CACC US,8/29/2006,9/26/2006,28.00,31.50,3.5,3.5,98.0,110.3,22.6,22.6,31.50,3.5
LAWS US,9/7/2006,10/5/2006,37.50,43.00,1.0,1.0,37.5,43.0,0.5,0.5,43.00,0.5
EAT US,8/29/2006,10/11/2006,35.25,40.00,11.3,11.3,396.6,450.0,1.3,1.3,40.00,1.3
3022239Q US,10/12/2006,11/16/2006,33.00,36.00,22.2,22.2,733.3,800.0,22.4,27.9,35.75,22.4
SONE US,10/23/2006,12/14/2006,4.75,5.25,10.5,11.6,55.0,55.0,14.0,14.0,5.25,10.5
JACK US,11/21/2006,12/19/2006,55.00,61.00,5.5,5.5,302.5,335.5,2.3,2.3,61.00,2.3
CBRL US,12/7/2006,1/11/2007,42.00,46.00,5.4,5.4,228.1,249.8,6.1,6.1,46.00,5.4
EXPE US,12/8/2006,1/10/2007,18.50,22.00,30.0,30.0,555.0,660.0,35.0,35.0,22.00,30.0
SMG US,12/12/2006,2/14/2007,48.50,55.50,4.5,4.5,218.3,249.8,4.8,N/A,54.50,4.5
WTW US,12/18/2006,1/18/2007,47.00,54.00,8.3,8.3,390.1,448.2,8.7,8.7,54.00,8.5
NCC US,1/25/2007,2/28/2007,35.00,38.75,75.0,75.0,"2,625.0","2,906.3",40.3,40.3,38.75,40.3
